x,y,T
3.6,3.4,583.983
3.8,3.4,584.404
4,3.4,584.851
4.2,3.4,585.326
4.4,3.4,585.83
4.6,3.4,586.364
4.8,3.4,586.93
5,3.4,587.528
5.2,3.4,588.162
5.4,3.4,588.833
5.6,3.4,589.544
5.8,3.4,590.298
6,3.4,591.1
6.2,3.4,591.954
6.4,3.4,592.865
6.6,3.4,593.842
6.8,3.4,594.893
7,3.4,596.03
7.2,3.4,597.265
7.4,3.4,598.618
7.6,3.4,600.11
7.8,3.4,601.769
8,3.4,603.626
8.2,3.4,604.915
8.4,3.4,605.658
8.6,3.4,605.866
8.8,3.4,605.535
9,3.4,604.645
9.2,3.4,603.972
9.4,3.4,603.49
9.6,3.4,603.179
9.8,3.4,603.026
10,3.4,603.026

0,3.6,580.405
0.2,3.6,580.405
0.4,3.6,580.43
0.6,3.6,580.477
0.8,3.6,580.546
1,3.6,580.636
1.2,3.6,580.748
1.4,3.6,580.881
1.6,3.6,581.037
1.8,3.6,581.214
2,3.6,581.414
2.2,3.6,581.636
2.4,3.6,581.881
2.6,3.6,582.148
2.8,3.6,582.439
3,3.6,582.753
3.2,3.6,583.091
3.4,3.6,583.453
3.6,3.6,583.84
3.8,3.6,584.253
4,3.6,584.693
4.2,3.6,585.159
4.4,3.6,585.654
4.6,3.6,586.178
4.8,3.6,586.732
5,3.6,587.318
5.2,3.6,587.938
5.4,3.6,588.595
5.6,3.6,589.289
5.8,3.6,590.025
6,3.6,590.806
6.2,3.6,591.637
6.4,3.6,592.521
6.6,3.6,593.467
6.8,3.6,594.481
7,3.6,595.573
7.2,3.6,596.757
7.4,3.6,598.047
7.6,3.6,599.467
7.8,3.6,601.048
8,3.6,602.83
8.2,3.6,604.063
8.4,3.6,604.778
8.6,3.6,604.99
8.8,3.6,604.69
9,3.6,603.851
9.2,3.6,603.228
9.4,3.6,602.788
9.6,3.6,602.506
9.8,3.6,602.368
10,3.6,602.368

0,3.8,580.317
0.2,3.8,580.317
0.4,3.8,580.341
0.6,3.8,580.387
0.8,3.8,580.455
1,3.8,580.543
1.2,3.8,580.654
1.4,3.8,580.785
1.6,3.8,580.938
1.8,3.8,581.112
2,3.8,581.309
2.2,3.8,581.527
2.4,3.8,581.767
2.6,3.8,582.03
2.8,3.8,582.315
3,3.8,582.623
3.2,3.8,582.955
3.4,3.8,583.31
3.6,3.8,583.69
3.8,3.8,584.095
4,3.8,584.526
4.2,3.8,584.982
4.4,3.8,585.466
4.6,3.8,585.978
4.8,3.8,586.52
5,3.8,587.092
5.2,3.8,587.697
5.4,3.8,588.336
5.6,3.8,589.011
5.8,3.8,589.726
6,3.8,590.482
6.2,3.8,591.284
6.4,3.8,592.135
6.6,3.8,593.041
6.8,3.8,594.008
7,3.8,595.044
7.2,3.8,596.159
7.4,3.8,597.365
7.6,3.8,598.683
7.8,3.8,600.144
8,3.8,601.802
8.2,3.8,602.945
8.4,3.8,603.621
8.6,3.8,603.844
8.8,3.8,603.604
9,3.8,602.857
9.2,3.8,602.321
